,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,c_type,c_type60,fstyle_m,na_apr,nf_apr,na_all_apr,nf_all_apr
165,7.4,-4.1,123.91,33.0,2001-10-19T03:28:48.000002Z,0,3,0,3,1,1,1.0,2,0,2,0
166,7.4,33.39,57.43,33.0,1978-09-16T15:36:00.000002Z,0,0,0,0,-1,-1,3.0,0,0,0,0
167,7.4,26.9,143.7,14.0,2010-12-21T17:19:40.799996Z,0,17,0,23,1,1,0.0,5,0,5,0
168,7.4,-11.46,162.05,39.0,2014-04-13T12:36:17.280003Z,0,0,0,0,-1,-1,3.0,0,0,0,0
169,7.4,-16.42,168.21,33.0,1999-11-26T13:21:12.960000Z,0,2,0,2,-1,-1,3.0,1,0,1,0
170,7.4,-49.27,164.12,10.0,2007-09-30T05:23:34.080002Z,0,7,0,7,1,1,3.0,2,0,2,0
171,7.4,-58.9,158.3,33.0,1987-09-03T06:40:10.559999Z,1,2,1,2,1,1,1.0,1,1,1,1
172,7.4,-13.09,166.5,31.1,2009-10-07T23:13:46.560004Z,0,0,0,0,-1,-1,3.0,0,0,0,0
173,7.4,6.9,126.58,33.0,2001-01-01T06:57:01.440002Z,1,6,1,7,1,1,3.0,4,0,5,0
174,7.4,22.31,125.31,33.0,1998-05-03T23:30:20.159996Z,0,3,0,3,1,1,1.0,0,0,0,0
175,7.4,13.96,-91.85,24.0,2012-11-07T16:35:45.599996Z,2,11,2,15,1,1,3.0,4,1,5,1
176,7.4,33.18,137.07,10.0,2004-09-05T14:57:15.839997Z,1,7,1,7,2,2,3.0,6,1,6,1
177,7.3,-22.01,169.77,10.0,2003-12-27T16:01:03.360003Z,7,25,7,27,5,5,3.0,18,7,18,7
178,7.3,43.9,147.9,23.0,1994-10-09T07:55:37.920003Z,0,0,0,0,-1,-1,3.0,0,0,0,0
179,7.3,-20.07,168.89,33.0,2008-04-09T12:46:13.439996Z,5,21,5,23,1,1,3.0,15,3,16,3
180,7.3,-6.25,149.09,24.0,1987-10-16T20:48:02.880001Z,1,1,1,2,1,-1,3.0,1,0,2,0
181,7.3,-30.64,-178.1,46.0,2019-06-15T22:55:03.360001Z,1,31,1,35,1,1,3.0,15,1,16,1
182,7.3,17.4,-100.96,24.0,2014-04-18T14:27:27.359998Z,0,3,0,4,1,1,3.0,2,0,2,0
183,7.3,41.12,-124.25,19.0,1980-11-08T10:27:33.119998Z,0,0,0,0,-1,-1,1.0,0,0,0,0
184,7.3,-60.86,-25.07,11.0,2013-07-15T14:03:41.759995Z,0,1,0,2,-1,-1,1.0,0,0,0,0
185,7.3,-17.54,168.07,25.0,2010-08-10T05:23:42.719997Z,0,11,0,13,1,1,3.0,5,0,5,0
186,7.3,-16.7,-172.1,33.0,1977-04-02T07:15:18.719998Z,0,0,0,0,-1,-1,0.0,0,0,0,0
187,7.3,12.53,-88.12,40.0,2014-10-14T03:51:33.119996Z,1,0,1,0,-1,-1,2.0,0,1,0,1
188,7.3,-46.68,165.71,33.0,1979-10-12T10:25:23.519997Z,0,0,0,0,-1,-1,0.0,0,0,0,0
189,7.3,23.96,121.82,33.0,1986-11-14T21:20:00.960002Z,0,1,0,2,-1,-1,3.0,1,0,2,0
190,7.3,2.77,95.96,26.0,2008-02-20T08:08:26.880004Z,0,1,0,2,-1,-1,0.0,1,0,2,0
191,7.3,-5.94,147.79,34.0,1987-02-08T18:33:59.039996Z,1,11,1,14,1,1,1.0,11,1,14,1
192,7.3,50.04,87.81,16.0,2003-09-27T11:33:21.599999Z,0,6,0,8,1,1,1.0,2,0,2,0
193,7.3,1.27,122.09,30.0,2008-11-16T17:02:32.640002Z,0,0,0,1,-1,-1,3.0,0,0,0,0
194,7.3,-5.93,150.59,35.0,2010-07-18T13:35:02.399999Z,2,13,2,15,3,3,3.0,7,2,8,2
195,7.3,41.77,143.59,33.0,2003-09-25T21:08:03.840003Z,0,0,0,0,-1,-1,3.0,0,0,0,0
196,7.3,9.89,-84.89,19.0,1990-03-25T13:22:56.639995Z,0,1,0,1,-1,-1,0.0,1,0,1,0
197,7.3,-28.61,-177.64,59.0,1976-01-01T01:29:42.719999Z,0,0,0,0,-1,-1,3.0,0,0,0,0
198,7.3,16.72,-86.23,10.0,2009-05-28T08:24:43.199995Z,0,4,0,5,1,1,0.0,1,0,1,0
199,7.3,-10.49,160.77,33.0,2003-01-20T08:43:09.119997Z,2,1,2,2,1,1,0.0,0,1,0,1
200,7.3,3.75,96.02,38.0,2010-05-09T05:59:42.719999Z,0,0,0,0,-1,-1,0.0,0,0,0,0
201,7.3,-9.97,160.73,33.0,1977-04-21T04:24:05.759998Z,3,2,3,3,4,4,3.0,2,3,3,3
202,7.3,38.44,142.84,32.0,2011-03-09T02:45:18.719998Z,0,0,0,0,-1,-1,0.0,0,0,0,0
203,7.3,-4.0,135.02,10.0,2004-02-07T02:42:34.559996Z,3,8,3,8,0,0,1.0,6,2,6,2
204,7.3,-25.86,-175.41,33.0,1977-10-10T11:53:57.120003Z,0,0,0,0,-1,-1,2.0,0,0,0,0
205,7.3,34.18,-116.51,5.0,1992-06-28T11:57:33.119998Z,0,5,0,5,1,1,1.0,4,0,4,0
206,7.3,16.84,-98.6,21.0,1995-09-14T14:04:33.599998Z,0,0,0,1,-1,-1,0.0,0,0,1,0
207,7.3,-19.7,167.94,16.0,2010-12-25T13:16:36.479997Z,0,29,0,32,5,5,2.0,14,0,14,0
208,7.3,-15.19,-173.59,31.0,1995-04-07T22:06:57.600005Z,0,4,0,5,1,1,0.0,4,0,5,0
209,7.3,-4.68,102.56,36.0,2001-02-13T19:28:33.599996Z,5,5,5,8,1,1,3.0,3,4,4,4
210,7.3,52.07,-171.84,52.0,2011-06-24T03:09:38.880002Z,0,5,0,6,1,1,0.0,4,0,5,0
211,7.3,7.41,-78.13,3.0,1976-07-11T20:41:51.359999Z,1,0,1,0,-1,-1,1.0,0,1,0,1
212,7.3,12.14,-88.59,28.0,2012-08-27T04:37:20.639996Z,2,4,2,6,1,1,0.0,2,1,3,1
213,7.2,28.82,34.86,10.0,1995-11-22T04:15:10.080003Z,0,2,0,2,-1,-1,0.0,2,0,2,0
214,7.2,40.76,31.16,10.0,1999-11-12T16:57:21.599998Z,1,0,1,0,-1,-1,0.0,0,1,0,1
215,7.2,-17.9,-172.29,33.0,1987-10-06T04:19:12.000004Z,0,0,0,0,-1,-1,2.0,0,0,0,0
216,7.2,-6.06,147.59,50.0,1992-05-15T07:05:05.280004Z,1,3,1,4,1,1,3.0,2,1,3,1
217,7.2,42.08,73.56,22.0,1992-08-19T02:04:33.599998Z,0,0,0,0,-1,-1,3.0,0,0,0,0
