,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
14,2417,37,411,10.0,58.678999999999995,-142.786,7.9,7,7,7,24,15,5,7,6,5,6,1987-11-30T19:23:19.590001Z,1987-11-30T19:23:19.590001Z,1987-11-30T19:23:17.999998,1,1,1,2,2
15,1977,230,4286,24.0,17.397000000000002,-100.97200000000001,7.2,3,3,3,8,5,0,0,0,0,1,2014-04-18T14:27:24.919979Z,2014-04-18T14:27:24.919979Z,2014-04-18T14:27:23.000001,1,1,1,1,1
16,1690,198,381,69.0,-19.022000000000002,-69.991,7.2,1,1,2,3,3,0,0,0,0,0,1987-08-08T15:48:56.750003Z,1987-08-08T15:48:56.750003Z,1987-08-08T15:48:54.999997,-1,-1,-1,1,1
17,1833,152,384,33.0,-58.893,158.513,7.4,5,5,5,6,7,0,1,0,0,0,1987-09-03T06:40:13.909981Z,1987-09-03T06:40:13.909981Z,1987-09-03T06:40:12.000002,1,1,1,1,1
18,2679,192,1077,27.0,42.141999999999996,73.575,7.3,7,7,7,12,9,0,0,0,2,0,1992-08-19T02:04:37.409985Z,1992-08-19T02:04:37.409985Z,1992-08-19T02:04:35.999998,1,1,1,1,1
19,1898,134,4811,25.0,-6.07,142.754,7.5,79,79,78,92,84,0,0,0,0,0,2018-02-25T17:44:44.140051Z,2018-02-25T17:44:44.140051Z,2018-02-25T17:44:42.999997,1,1,1,1,1
20,2651,213,164,10.0,7.075,-76.862,7.2,16,16,16,19,18,4,4,4,4,6,1992-10-18T15:11:59.109970Z,1992-10-18T15:11:59.109970Z,1992-10-18T15:11:58.000004,1,1,1,1,1
21,2701,16,3531,18.0,-15.489,-172.095,8.1,111,101,8,521,8,8,5,0,205,0,2009-09-29T17:48:10.990015Z,2009-09-29T17:48:10.990015Z,2009-09-29T17:48:08.999999,1,1,1,0,1
22,2700,161,677,28.0,39.836999999999996,142.76,7.4,20,20,20,91,30,12,12,12,12,12,1989-11-01T18:25:34.939985Z,1989-11-01T18:25:34.939985Z,1989-11-01T18:25:33.000000,1,1,1,1,1
23,2280,121,1518,10.0,-9.593,-79.587,7.5,2,2,2,7,7,0,1,0,0,0,1996-02-21T12:51:01.300002Z,1996-02-21T12:51:01.300002Z,1996-02-21T12:50:59.999999,-1,1,-1,1,1
24,2018,13,4746,47.0,15.022,-93.899,8.2,44,43,43,114,68,1,3,0,3,0,2017-09-08T04:49:19.179983Z,2017-09-08T04:49:19.179983Z,2017-09-08T04:49:18.000000,1,1,1,1,1
25,2252,202,1801,33.0,-0.593,-80.393,7.2,0,0,0,4,0,1,2,1,1,1,1998-08-04T18:59:20.099982Z,1998-08-04T18:59:20.099982Z,1998-08-04T18:59:18.999999,-1,-1,-1,1,-1
26,2464,181,3699,35.0,-5.931,150.59,7.3,28,28,25,83,40,3,3,1,3,1,2010-07-18T13:34:59.360014Z,2010-07-18T13:34:59.360014Z,2010-07-18T13:34:58.000003,3,3,3,5,3
27,2303,162,1255,23.0,16.779,-98.59700000000001,7.4,2,2,2,26,20,0,0,0,0,2,1995-09-14T14:04:31.429983Z,1995-09-14T14:04:31.429983Z,1995-09-14T14:04:30.000002,-1,-1,-1,0,0
28,2348,102,2425,10.0,-2.5980000000000003,68.382,7.6,6,6,6,14,14,0,0,0,0,0,2003-07-15T20:27:50.529969Z,2003-07-15T20:27:50.529969Z,2003-07-15T20:27:49.000000,1,1,1,1,1
